timestamp,density,num_cars,spawn_prob,min_gap,actual_vehicle_count,target_vehicle_count
1769249019.7709253,MEDIUM,,,,2,6
1769249020.7929707,MEDIUM,,,,2,6
1769249021.811879,MEDIUM,,,,2,6
1769249022.81197,MEDIUM,,,,2,6
1769249023.8378844,MEDIUM,,,,2,6
1769249024.840257,MEDIUM,,,,2,6
1769249025.8582647,MEDIUM,,,,2,6
1769249026.8811007,MEDIUM,,,,2,6
1769249027.904515,MEDIUM,,,,2,6
1769249028.92653,MEDIUM,,,,2,6
1769249029.9516087,MEDIUM,,,,2,6
1769249030.9739602,MEDIUM,,,,2,6
1769249031.991033,MEDIUM,,,,2,6
1769249033.0098226,MEDIUM,,,,2,6
1769249034.0313544,MEDIUM,,,,2,6
1769249035.0522985,MEDIUM,,,,2,6
1769249036.0709045,MEDIUM,,,,2,6
1769249037.0931296,MEDIUM,,,,2,6
1769249038.1129434,MEDIUM,,,,2,6
1769249039.1299107,MEDIUM,,,,2,6
1769249040.1544855,MEDIUM,,,,2,6
1769249041.1590056,MEDIUM,,,,2,6
1769249042.177317,MEDIUM,,,,2,6
1769249043.1973403,MEDIUM,,,,2,6
1769249044.220287,MEDIUM,,,,2,6
1769249045.2429638,MEDIUM,,,,2,6
1769249046.267811,MEDIUM,,,,2,6
1769249047.275648,MEDIUM,,,,2,6
1769249048.2923365,MEDIUM,,,,2,6
1769249049.2959044,MEDIUM,,,,2,6
1769249050.320045,MEDIUM,,,,2,6
1769249051.3246324,MEDIUM,,,,2,6
1769249052.3278837,MEDIUM,,,,2,6
1769249053.350854,MEDIUM,,,,2,6
1769249054.3767083,MEDIUM,,,,2,6
1769249055.3824992,MEDIUM,,,,2,6
1769249056.386045,MEDIUM,,,,2,6
1769249057.3890011,MEDIUM,,,,2,6
1769249058.4105792,MEDIUM,,,,2,6
1769249059.4322011,MEDIUM,,,,2,6
1769249060.4569669,MEDIUM,,,,1,6
1769249061.458524,MEDIUM,,,,1,6
1769249062.4824347,MEDIUM,,,,2,6
1769249063.5073526,MEDIUM,,,,2,6
1769249064.5317376,MEDIUM,,,,1,6
1769249065.5510948,MEDIUM,,,,1,6
1769249066.553942,MEDIUM,,,,2,6
1769249067.5766466,MEDIUM,,,,2,6
1769249068.5820158,MEDIUM,,,,2,6
1769249069.5836012,MEDIUM,,,,2,6
1769249070.5909305,MEDIUM,,,,2,6
1769249071.5929236,MEDIUM,,,,2,6
1769249072.5934236,MEDIUM,,,,2,6
1769249073.615637,MEDIUM,,,,2,6
1769249074.6182613,MEDIUM,,,,2,6
1769249075.619589,MEDIUM,,,,1,6
1769249076.6201196,MEDIUM,,,,2,6
1769249077.6281924,MEDIUM,,,,2,6
1769249078.6328053,MEDIUM,,,,2,6
1769249079.6350133,MEDIUM,,,,2,6
1769249080.6357503,MEDIUM,,,,2,6
1769249081.6362047,MEDIUM,,,,2,6
1769249082.6380377,MEDIUM,,,,2,6
1769249083.6405818,MEDIUM,,,,2,6
1769249084.6434617,MEDIUM,,,,2,6
1769249085.6439025,MEDIUM,,,,2,6
1769249086.6704516,MEDIUM,,,,2,6
1769249087.6916409,MEDIUM,,,,2,6
1769249088.7157156,MEDIUM,,,,2,6
1769249089.7393913,MEDIUM,,,,1,6
1769249090.7645059,MEDIUM,,,,2,6
1769249091.7647579,MEDIUM,,,,2,6
1769249092.7706673,MEDIUM,,,,2,6
1769249093.770847,MEDIUM,,,,2,6
1769249094.7931519,MEDIUM,,,,2,6
1769249095.7934895,MEDIUM,,,,2,6
1769249096.7945466,MEDIUM,,,,2,6
1769249097.8115754,MEDIUM,,,,2,6
1769249098.8330004,MEDIUM,,,,2,6
1769249099.857927,MEDIUM,,,,2,6
1769249100.8832471,MEDIUM,,,,2,6
1769249101.885732,MEDIUM,,,,2,6
1769249102.888124,MEDIUM,,,,2,6
1769249103.8923886,MEDIUM,,,,2,6
1769249104.9176946,MEDIUM,,,,2,6
1769249105.9195366,MEDIUM,,,,2,6
1769249106.9440348,MEDIUM,,,,2,6
1769249107.9677615,MEDIUM,,,,2,6
1769249108.9726546,MEDIUM,,,,2,6
1769249109.981597,MEDIUM,,,,2,6
1769249110.9830194,MEDIUM,,,,2,6
1769249111.9880018,MEDIUM,,,,2,6
1769249113.0146577,MEDIUM,,,,2,6
1769249114.017158,MEDIUM,,,,2,6
1769249115.0424323,MEDIUM,,,,2,6
1769249116.0499535,MEDIUM,,,,2,6
1769249117.0545013,MEDIUM,,,,2,6
1769249118.0573194,MEDIUM,,,,2,6
1769249119.0621922,MEDIUM,,,,2,6
1769249120.081996,MEDIUM,,,,2,6
1769249121.1053748,MEDIUM,,,,2,6
1769249122.1060278,MEDIUM,,,,2,6
1769249123.1305633,MEDIUM,,,,1,6
1769249124.1321855,MEDIUM,,,,2,6
1769249125.1329436,MEDIUM,,,,2,6
1769249126.1593745,MEDIUM,,,,2,6
1769249127.184672,MEDIUM,,,,2,6
1769249128.1881008,MEDIUM,,,,2,6
1769249129.1908982,MEDIUM,,,,1,6
1769249130.194643,MEDIUM,,,,2,6
1769249131.1955738,MEDIUM,,,,2,6
1769249132.1967058,MEDIUM,,,,2,6
1769249133.1987603,MEDIUM,,,,2,6
1769249134.2025478,MEDIUM,,,,2,6
1769249135.2049818,MEDIUM,,,,2,6
1769249136.2058437,MEDIUM,,,,2,6
1769249137.205893,MEDIUM,,,,2,6
1769249138.2080219,MEDIUM,,,,2,6
1769249139.2327821,MEDIUM,,,,2,6
1769249140.2582223,MEDIUM,,,,2,6
1769249141.2801187,MEDIUM,,,,1,6
1769249142.2856593,MEDIUM,,,,2,6
1769249143.2903621,MEDIUM,,,,2,6
1769249144.2962368,MEDIUM,,,,2,6
1769249145.301443,MEDIUM,,,,2,6
1769249146.304257,MEDIUM,,,,2,6
1769249147.3067408,MEDIUM,,,,2,6
1769249148.30735,MEDIUM,,,,2,6
1769249149.312402,MEDIUM,,,,2,6
1769249150.319516,MEDIUM,,,,2,6
1769249151.3216789,MEDIUM,,,,2,6
1769249152.3269503,MEDIUM,,,,2,6
1769249153.3364089,MEDIUM,,,,1,6
1769249154.3377292,MEDIUM,,,,2,6
1769249155.3443906,MEDIUM,,,,2,6
1769249156.3687596,MEDIUM,,,,2,6
1769249157.3705459,MEDIUM,,,,2,6
1769249158.3788705,MEDIUM,,,,2,6
1769249159.3836784,MEDIUM,,,,2,6
1769249160.3874898,MEDIUM,,,,2,6
1769249161.3907192,MEDIUM,,,,2,6
1769249162.3916488,MEDIUM,,,,2,6
1769249163.3945208,MEDIUM,,,,2,6
1769249164.4007986,MEDIUM,,,,2,6
1769249165.404262,MEDIUM,,,,2,6
1769249166.4087963,MEDIUM,,,,2,6
1769249167.4123209,MEDIUM,,,,1,6
1769249168.4130502,MEDIUM,,,,0,6
1769249169.4150958,MEDIUM,,,,2,6
1769249170.4244893,MEDIUM,,,,2,6
1769249171.4251118,MEDIUM,,,,2,6
1769249172.4293883,MEDIUM,,,,2,6
1769249173.433408,MEDIUM,,,,2,6
1769249174.457692,MEDIUM,,,,2,6
1769249175.46341,MEDIUM,,,,2,6
1769249176.4693282,MEDIUM,,,,2,6
1769249177.472658,MEDIUM,,,,2,6
